on,en,cn,src,cpt,ver,num,rsrc
遊☆戯☆王デュエルモンスターズ,Yu-Gi-Oh! Duel Monsters,游戏王：决斗怪兽,【CXRAW】【遊☆戯☆王デュエルモンスターズ】【DVDrip】【x264 Hi10p AAC MP4】,op,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1865696490
,,,,op,nc,04,https://steamcommunity.com/sharedfiles/filedetails/?id=1865698758
,,,,op,nc,05,https://steamcommunity.com/sharedfiles/filedetails/?id=1865700694
,,,,ed,nc,05,https://steamcommunity.com/sharedfiles/filedetails/?id=1865703800
遊☆戯☆王5D's,Yu-Gi-Oh! 5D's,游戏王5D's,[Blizzard-Shoot] Yu-Gi-Oh! 5D's,op,,04,https://steamcommunity.com/sharedfiles/filedetails/?id=1865708614
,,,,ed,,05,https://steamcommunity.com/sharedfiles/filedetails/?id=1865711971
デジモンフロンティア,Digimon Frontier,数码宝贝：无线地带,[AI-Raws][Digimon Frontier_デジモンフロンティア][01-50+SP][DVDRip Upconv][MKV],op,,,https://steamcommunity.com/sharedfiles/filedetails/?id=1240849883
,,,,ed,,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1240855749
,,,,ed,,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1240859945
デジモンテイマーズ,Digimon Tamers,数码宝贝：驯兽师,[Moozzi2] Digimon Tamers BD-BOX - TV + SP,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1415592296
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1415595810
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1415597965
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1415599935
One Piece,,,One Piece Creditless OP & ED,op,nc,11,https://steamcommunity.com/sharedfiles/filedetails/?id=2397808973
,,,,ed,nc,15,https://steamcommunity.com/sharedfiles/filedetails/?id=2397789759
BLEACH,,死神,,col,,,https://steamcommunity.com/sharedfiles/filedetails/?id=1289037852
Naruto,,火影忍者,NARUTO -ナルト-,ed,,06,https://steamcommunity.com/sharedfiles/filedetails/?id=1289003758
